0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:03:54 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:28 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:04:30 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 7969
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:08:01 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:16:43 +0530] "POST /SamundiAgencies/Cmpny_Exp_submit HTTP/1.1" 500 11050
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:24 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:25 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:17:28 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
