0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:46 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:02 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 11385
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:02 +0530] "GET /resources/css/headercss.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:13 +0530] "POST /SamundiAgencies/IceBalancesubmit HTTP/1.1" 200 10877
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:14 +0530] "GET /resources/css/headercss.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:18 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:20 +0530] "GET /SamundiAgencies/ReportIceBalanceFilter HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "POST /SamundiAgencies/Report_IceBalance HTTP/1.1" 200 11251
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:28 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:29 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:29 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:34 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 9299
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:45 +0530] "POST /SamundiAgencies/RetailerUploadSubmit HTTP/1.1" 200 9299
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:47 +0530] "GET /SamundiAgencies/RetailerList HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:48 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:59:53 +0530] "GET /SamundiAgencies/ProductUpload HTTP/1.1" 200 10342
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:03 +0530] "POST /SamundiAgencies/ProductSubmit HTTP/1.1" 200 10342
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:05 +0530] "GET /SamundiAgencies/ProductUpload HTTP/1.1" 200 10342
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /SamundiAgencies/ProductUploadList HTTP/1.1" 200 12038
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:07 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:08 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:08 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /SamundiAgencies/OpenCounterClosingUpload HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:11 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:36 +0530] "POST /SamundiAgencies/OpenCounterClosingSubmit HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:39 +0530] "GET /SamundiAgencies/CounterClosingListByDate HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "POST /SamundiAgencies/CounterClosingListByDateSubmit HTTP/1.1" 200 12519
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:47 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:55 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 14813
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:00:56 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:05 +0530] "GET /SamundiAgencies/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:05 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:07 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:16 +0530] "POST /SamundiAgencies/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:16 +0530] "GET /SamundiAgencies/login?error HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:38 +0530] "GET /Sri_Ananda/ HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:45 +0530] "GET /Sri_Ananda/Billing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:46 +0530] "GET /Sri_Ananda/login HTTP/1.1" 200 6392
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:52 +0530] "POST /Sri_Ananda/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:01:54 +0530] "GET /Sri_Ananda/Billing HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:05 +0530] "GET /Sri_Ananda/Billing HTTP/1.1" 200 9384
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:24 +0530] "POST /Sri_Ananda/submit HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:38 +0530] "GET /Sri_Ananda/index HTTP/1.1" 200 5716
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:40 +0530] "GET /Sri_Ananda/InventoryByDate HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "POST /Sri_Ananda/ReportByDate HTTP/1.1" 200 7476
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:44 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:49 +0530] "GET /Sri_Ananda/product_edit?id=52 HTTP/1.1" 200 9201
0:0:0:0:0:0:0:1 - - [08/Aug/2018:17:03:56 +0530] "POST /Sri_Ananda/product_update HTTP/1.1" 200 5872
